Time,Hips.X,Hips.Y,Hips.Z,Tail.X,Tail.Y,Tail.Z,Tail1.X,Tail1.Y,Tail1.Z,Tail1End.X,Tail1End.Y,Tail1End.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,RightFootEnd.X,RightFootEnd.Y,RightFootEnd.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,LeftFootEnd.X,LeftFootEnd.Y,LeftFootEnd.Z,Spine.X,Spine.Y,Spine.Z,Spine1.X,Spine1.Y,Spine1.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,RightHand.X,RightHand.Y,RightHand.Z,RightHandEnd.X,RightHandEnd.Y,RightHandEnd.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,LeftHand.X,LeftHand.Y,LeftHand.Z,LeftHandEnd.X,LeftHandEnd.Y,LeftHandEnd.Z,Neck.X,Neck.Y,Neck.Z,Head.X,Head.Y,Head.Z,HeadEnd.X,HeadEnd.Y,HeadEnd.Z
0.0,128.227,6.80959,206.938,131.11853387601903,6.944969939751101,200.70206868681,128.54541534521564,3.590165522692106,189.4715589766625,125.17310315915118,1.3884400749374648,178.16758111166158,124.67694708892759,11.719701070870503,197.94917690199094,108.8707461282849,9.4291598511804,198.90700366747555,108.63091943245146,5.197864605246324,181.4130440328559,101.79650693684567,1.7648844267418498,173.78772745359817,124.76968073612716,2.143989555615735,197.78428874567177,110.83692501915829,-2.824140998085607,203.8831408452599,106.39838358174676,0.37968680233860264,186.7356967985919,97.22523908632853,1.3632582677372787,181.12089428749397,128.227,6.80959,206.938,116.71034168529044,5.796295665892551,222.01579214124857,102.85172789519858,8.320764318281444,237.0419653679947,96.29857069339226,12.880544240719516,237.5781898387722,89.17417506016454,13.733445802147152,224.17835604175218,72.89911218176617,6.733730402041785,225.900654686502,66.93124072327748,2.7130437228494193,226.14270609162313,102.02304535188614,-0.04347645439250325,235.221866046763,94.64112871601657,-2.9762070735816946,236.17391536079157,82.50300866984476,-6.876048042566779,227.89760687443442,69.0922771807602,1.5625339312923465,236.00825513447725,62.22541101388241,2.606321325305915,237.90474054762637,103.43698270471218,3.196461620272755,240.00658990866117,96.16691083274318,0.5731723985025559,251.67986545872452,83.98774808642551,4.555440458045108,262.85168428560564
0.0166667,128.23,6.81935,206.938,131.11525417436394,6.957050368713846,200.6992114809967,128.5505860739975,3.5980049012807096,189.46803651652039,125.19606633468254,1.395490219041625,178.15891955748828,124.6686876713178,11.729182911996585,197.9534798480469,108.86590928610647,9.421069096101432,198.9254911240985,108.64513583897555,5.206581227778105,181.42722403581809,101.82468635510635,1.7771898906489252,173.78780364584006,124.76574970610228,2.153541561317695,197.78701561353364,110.83281014997155,-2.821175221984073,203.88007627720205,106.40306979159656,0.38043199172363096,186.72994182855942,97.22711056204132,1.366621302942048,181.1202000466252,128.23,6.81935,206.938,116.71933277288606,5.8050719503870525,222.02030022326562,102.85883019796714,8.324350988621303,237.0456022667581,96.3054197976521,12.883531941177095,237.58382164824792,89.17966383652136,13.751866361240479,224.18570247735894,72.90580855988259,6.743206019224581,225.88285145292656,66.93571338850973,2.7257158927719507,226.1231361353473,102.02965142732802,-0.03903465407264406,235.22180316655485,94.64698922628547,-2.97093964861744,236.17060869365767,82.47050241177898,-6.76953250733637,227.9035740892884,69.15009482691306,1.7189964695802296,236.11037721724838,62.241254419353794,2.617377221260071,237.92719758478268,103.44320644366294,3.198726062406979,240.00811362019405,96.16924800031954,0.5812416578190511,251.6802709781382,83.99691836900965,4.558897665207896,262.86117630971216
0.0333334,128.223,6.81772,206.932,131.10175522317903,6.957788904521952,200.6902627182745,128.53182259781875,3.5907380817681345,189.46268884596793,125.1625321980848,1.380077964115817,178.15955370360666,124.64948628438152,11.726298320716285,197.95164000272368,108.85052530452279,9.396380864007163,198.93363623582394,108.63305471459361,5.199211249425382,181.43116573109384,101.81793335000651,1.7657576675748352,173.788815484787,124.75216472515172,2.1507341028905733,197.78411178152845,110.8233671027136,-2.8223811857120316,203.8879401801181,106.39184594212867,0.38211378740371593,186.7388051532264,97.2225154831509,1.359913504856761,181.1167693434319,128.223,6.81772,206.932,116.71518038331928,5.815787804562881,222.01729812584705,102.84532690885666,8.304463953878901,237.0390708448294,96.29744990001113,12.870202206662352,237.58892520720005,89.16893248222463,13.770944675147689,224.1944150470717,72.90208537116743,6.7414268291887645,225.87237926565174,66.92729425727984,2.7303422124068053,226.1027514480543,102.02303641149379,-0.056988620479781815,235.2033287102426,94.63943634589819,-2.9892298425726813,236.14376025309713,82.39950159856986,-6.701312465030268,227.93130386142036,69.20468226749945,1.8926070508161477,236.2307791566161,62.244576148962814,2.613532916561935,237.92700694639188,103.43187196339511,3.1751777388752296,239.99480896306144,96.16728942733386,0.5647581194405733,251.67438530039414,83.98670637946084,4.536006487730873,262.84857802341537
0.0500001,128.21,6.81104,206.929,131.0900836896543,6.954220526862715,200.68794620241175,128.51876468546746,3.5841029089561047,189.46160994251898,125.13852910171629,1.3694096828530902,178.1625329309841,124.63405041782737,11.71696202544993,197.94815812671413,108.83613742166534,9.3790871238804,198.92809991595783,108.60479349760483,5.191767058236622,181.42344822971577,101.77737492328288,1.7487429805460026,173.79639501032324,124.7456186479385,2.1415089287670277,197.77996425032242,110.81969847677397,-2.8370576718901663,203.88591397081416,106.3838880103672,0.36562469262740516,186.7375492914016,97.21394891905626,1.3420082030523175,181.11626008853915,128.21,6.81104,206.929,116.70703530964981,5.824368789074366,222.01900607203612,102.82718369304924,8.283387187812217,237.0364275423092,96.28517680779527,12.855890337571754,237.59977449973837,89.15605284863592,13.80791149650929,224.2091342130353,72.9026699900015,6.747498973932798,225.88786011731318,66.93839046847692,2.720281988837514,226.1089780588796,102.01484654898064,-0.07715864646417625,235.192144018192,94.63122543957729,-3.0109565548780646,236.12754187224098,82.40073633382165,-6.729090675600429,227.90375838200288,69.16863691070054,1.8304030564633207,236.17942221685016,62.224671176590086,2.593118326343999,237.92286860277392,103.41784703888293,3.151862129609424,239.98745573413072,96.1778761851607,0.5326877834407187,251.6803467886981,83.99260988278452,4.477792433335544,262.85869346616136
0.0666668,128.208,6.81883,206.938,131.0906196061386,6.963045970018088,200.69814093209044,128.52300106582481,3.5948150396197,189.4703915836705,125.14690107269398,1.380822270145765,178.16994093543974,124.6327531862809,11.721397067602435,197.95504650709736,108.8349045221284,9.386349455879763,198.94273584870413,108.59682957925864,5.203850367649815,181.4370218758742,101.77603339343207,1.75639691099135,173.8060452636975,124.75039959668248,2.145995136397259,197.7880859285413,110.82080726842128,-2.8420201848731512,203.87792670833335,106.38880987817596,0.35329410797525496,186.727201776052,97.21512109799436,1.3330583635015576,181.11262288107127,128.208,6.81883,206.938,116.70828747073864,5.837776628066435,222.0308508250021,102.82325271675103,8.291571347412217,237.04433480960296,96.27443636330645,12.853475941636285,237.61444863838648,89.13956992904171,13.8467890702146,224.22986758428559,72.8964332325003,6.767976545956003,225.93013918137507,66.93137629930645,2.741824910798263,226.1496814198457,102.01420621359857,-0.06916136811333562,235.19945209916378,94.63287404785247,-3.009137465306344,236.13351634045333,82.44871440854129,-6.788540381543793,227.86899170315468,69.11566895721764,1.6826221507617127,236.07321648945845,62.21687601187024,2.600837036616813,237.9180843222907,103.41474627583231,3.160112807355785,239.9953123800442,96.16493180955649,0.5494170263990408,251.68399969625852,83.98697401316858,4.5058172988803245,262.86631791715104
0.0833335,128.215,6.8238,206.946,131.09627105893398,6.967089557792129,200.70549678193711,128.52551369337482,3.599059556437992,189.4784054187477,125.14770301387287,1.3852858988800367,178.17842306448958,124.64113289032714,11.730492833002883,197.96475028673868,108.8428650752334,9.396838551110015,198.94902247225255,108.5935548631817,5.207308165056899,181.4451463425919,101.77996525565106,1.7596249422970516,173.80783810895022,124.75197145704087,2.155040019161012,197.79605861884534,110.81995463601248,-2.8302183849686804,203.8826098543675,106.39470380672012,0.36475920803126183,186.7300802077505,97.22144779444832,1.3437028064859489,181.11465114450306,128.215,6.8238,206.946,116.70577297289901,5.847316659920214,222.03189319613506,102.82139565720477,8.302447639435302,237.04576672793425,96.2663945389955,12.854661406320044,237.62222929963878,89.13445701237262,13.878724956438928,224.2384046982154,72.89943606540892,6.78897935092326,225.9703406383474,66.9251084583104,2.776457543067721,226.18731617739346,102.01132509001447,-0.058154821934948586,235.2007431077327,94.63131426114286,-3.0013913512211334,236.13498017529813,82.51971563437621,-6.915783444348834,227.82674851956276,69.02965978425695,1.3861124029454643,235.94690359821368,62.21356750469806,2.631044212501501,237.90420552333745,103.41236134879496,3.1708631195042427,239.99663098543024,96.14783378811025,0.5754677069395457,251.67958931818345,83.98002864736628,4.570693210322324,262.8591551073366
0.1000002,128.216,6.81278,206.944,131.0980806155203,6.956805176518905,200.70388755700293,128.5263541780881,3.587652074915602,189.47735512223176,125.14850453818632,1.372229890227986,178.1777075014513,124.64809822613672,11.728406484174824,197.9652639927915,108.84822297638193,9.403088438821499,198.943444998608,108.60739132913416,5.205934228785648,181.4412766570892,101.78616242401733,1.7639979583871788,173.80819661463488,124.7491843065687,2.152946578723495,197.7909428516843,110.81653069396584,-2.8279685498245426,203.87959194597656,106.38935342358721,0.3678977472406144,186.72772499138745,97.21422282322183,1.3495076553305791,181.1158250943313,128.216,6.81278,206.944,116.69218606604328,5.837044167674928,222.01880188928072,102.81737987891344,8.295992951463347,237.04089642194458,96.26737722801943,12.854230470870522,237.62650288166483,89.13752138306916,13.902535471227875,224.24344597165904,72.90901372962283,6.801761107878872,225.99117100233167,66.93931328530175,2.782158654222682,226.20441433665627,101.9986097256461,-0.06272488136579124,235.1911797876293,94.615687036021,-2.9982623438305316,236.1266328145018,82.55108615855457,-7.012106667575515,227.7974996415854,68.97531089826737,1.1909212895352814,235.8751638099594,62.20711355393992,2.6368532328147825,237.86030499477292,103.40498281521933,3.162063440174186,239.9883513516015,96.15023634975017,0.5572047560217297,251.67528073402337,83.98367965943343,4.553797406849501,262.85571657010144
0.11666689999999999,128.21,6.80259,206.941,131.09821358953815,6.948955139635358,200.7037782840288,128.53340366268327,3.5840214460353375,189.4743984580196,125.17124687312585,1.3722298270963091,178.1693606625576,124.65132780783946,11.722243595664033,197.96080691664076,108.8490166586004,9.413542666305837,198.93900033382133,108.62573650336729,5.2092384000589895,181.43831544410637,101.79861969345697,1.767286870829273,173.81050804392424,124.75176881383847,2.146848154929579,197.78261484421407,110.82315028515976,-2.831146475788384,203.8828734730831,106.38344716419041,0.3663799845812883,186.73455400052572,97.20963175009666,1.3478225343045083,181.1204751562514,128.21,6.80259,206.941,116.6835653535139,5.828700997181839,222.01391758587152,102.81727560273856,8.290266326696683,237.04344534545444,96.26969509991065,12.85165176071219,237.6316216940565,89.12976128673306,13.916059525041911,224.25521031974992,72.90780056839276,6.800463413106771,226.00343296702283,66.93789442747405,2.781078450791963,226.21501083292273,101.99451671639068,-0.06785077222586544,235.19278428096044,94.61090035839898,-3.000674915602417,236.13126817641367,82.55268043847413,-6.9729210733016895,227.77300323532867,68.98254553414475,1.2066582585102168,235.88385526411685,62.20545418634565,2.6190728955828115,237.8627735940561,103.40449879500822,3.155642729278086,239.98976668490346,96.14565873359142,0.5449123217695688,251.6728433830356,83.96627203050244,4.54117473781022,262.8394196819179
0.1333336,128.218,6.80851,206.944,131.1075971897422,6.955188274843518,200.70742651836773,128.53559918927093,3.5928348072390857,189.47891791550956,125.16975710162286,1.383078263466492,178.17457879027666,124.65857210001396,11.724107513377717,197.96188548290127,108.85511815797507,9.418293263365218,198.92835542361067,108.6284282240828,5.2039936708789485,181.4301186376187,101.7985463664939,1.7626180872452974,173.80452699475268,124.76464567956012,2.1487333516474196,197.7858266421973,110.83451715676487,-2.8313721237627467,203.8809122685192,106.39589376643075,0.3670047424558329,186.73247187819752,97.22182663323395,1.3481989882940721,181.1187609765272,128.218,6.80851,206.944,116.69588382658466,5.846664762270722,222.0209921610704,102.8270695784617,8.303063972935526,237.04903575526146,96.27606140130848,12.859502911994557,237.637385135489,89.1319507343307,13.936797657158158,224.26423596223825,72.91550725791626,6.805585745442524,225.9999714393375,66.94773179291505,2.78284745043495,226.20789596701303,102.01165847290869,-0.056623178878638214,235.2022180997432,94.6309429293154,-2.995896516951333,236.14333993492465,82.58382880322132,-6.947366549590257,227.75925227948943,68.97925201222475,1.1711412469706861,235.87376529599612,62.21165872747083,2.6218095239359553,237.8575099071697,103.41870315787838,3.1703177378516667,239.99774492944923,96.15271597870667,0.5603463902957224,251.6765476638654,83.96425099447596,4.55792058610078,262.83274423246417
0.1500003,128.234,6.81619,206.949,131.11817256535986,6.9571282577099085,200.70978368320067,128.53749425261591,3.5936102519303077,189.48361576752572,125.15300859255802,1.3818522816916117,178.18523608290067,124.66952247290092,11.728051045500681,197.96684390496924,108.86569882953859,9.420000766361518,198.92186335946587,108.61614384138225,5.188270622781715,181.4281449925833,101.78988570550285,1.7514524390519477,173.79725509465365,124.76982522282584,2.1525041253175,197.79690510855153,110.83176732231149,-2.827122097902408,203.8742289142188,106.40448745078122,0.3698794340137659,186.72260000778346,97.22985966826829,1.3514479787129208,181.10987088155625,128.234,6.81619,206.949,116.71842983024143,5.867682302660079,222.0318371606092,102.83472768877246,8.312921340202376,237.04794920388622,96.27912452422122,12.8626268136798,237.63722519122257,89.1334939432201,13.943321154700266,224.2651623981772,72.91918639167834,6.804218362788575,225.988369277961,66.95033538237796,2.7829455858426426,226.19375399542417,102.02517426854524,-0.04665155717019953,235.19803995386548,94.64519028864086,-2.990281105705762,236.1312502931476,82.53911391843516,-6.946859640133243,227.8349618929258,69.02185863140782,1.3443852727201522,235.92069422218418,62.21813842069361,2.6307652165600395,237.89417286012417,103.42624412239938,3.1796409495643765,239.99575190078448,96.16645167048503,0.5774619127386718,251.68014453573943,83.97713886245745,4.576111327809476,262.8350293905198
